" and "," и "
"(Absolute path or Relative to Magento install root, ex. var/export)","(абсолютный или относительный путь к корневой установке Magento, напр. var/export)"
"(For US 2-letter state names)","(Для двухбуквенных названий штатов США)"
"(If left empty will be auto-generated)","(Если оставить пустыми будут сгенерировано автоматически)"
"(Leave empty for first spreadsheet)","(Оставьте пустым для первой таблицы)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Товар будет добавлен/обновлен для этого магазина, если столбец 'магазин' пустой или пропущен в файле импорта.)"
"(Shift-)Click or drag to change value","(Shift-)Кликните или тяните для изменения значения"
"(Starting with)","(Начиная с)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Если выбрано 'Нет', будут импортированы только mapped поля. Когда мэппируете, используйте 'стоолбец1', 'столбец2 'и т.д.)"
"(You have to increase php memory_limit before changing this value)","(Необходимо увеличить  php memory_limit перед изменением этого значения)"
"(\\t for tab)","(\\t для вкладок)"
"- Click on any of the time parts to increase it","- Кликните на любой цифре, чтобы изменить их"
"- Hold mouse button on any of the above buttons for faster selection.","- Для быстрого выделения держите кнопки мыши нажатыми над кнопками выше"
"- Use the %s buttons to select month","- Используйте кнопки %s  для выбора месяца"
"- Use the %s, %s buttons to select year","- Используйте кнопки %s, %s  чтобы выбрать год"
"- or Shift-click to decrease it","- или Shift-клик для уменьшения"
"- or click and drag for faster selection.","- или нажмите и тяните для быстрого выделения."
"API:","API:"
"About the calendar","О календаре"
"Access Denied.","Доступ запрещен"
"Account Created in:","Аккаунт создан:"
"Account Created on (%s):","Аккаунт создан (%s):"
"Account Created on:","Аккаунт создан:"
"Action","Действие"
"Actions","Действия"
"Add Contents Path","Добавить путь к оглавлению"
"Add Field with URL:","Добавить поле с URL"
"Add Maintainer","Добавить ведущего"
"Add New Role","Добавить новую роль"
"Add New Template","Добавить новый шаблон"
"Add New User","Добавить нового пользователя"
"Add PHP Extension dependency","Добавить зависимость PHP расширение"
"Add Package dependency","Добавить зависимость пакета"
"Add Subpackage dependency","Добавить зависимость подпакета"
"Address Type:","Тип адреса:"
"All","Все"
"All Websites","Все сайты"
"All fields","Все поля"
"Archive file name:","Название файла с архивом:"
"Are you sure that you want to delete this template?","Вы уверены, что хотите удалить этот шаблон?"
"Are you sure that you want to strip tags?","Вы уверены, что вы хотите убрать метки?"
"Attribute Set Name:","Название набора атрибутов:"
"Available Products","Доступные продукты"
"Big Image","Большое изображение"
"Billing Address","Платежный адрес"
"Bundle Items","Добавить в пакет"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Набор с динамическими ценами не может включать другие цены. Опции не будут сохранены."
"CSV / Tab separated","Csv / Tab-разделение"
"Card Verification Number","Проверочный код карты"
"Catalog","Каталог"
"Channel","Канал"
"Channel:","Канал:"
"Choose Store View","Выберите вид магазина"
"Client Session timeout (sec.)","Тайм-аут клиентской сессии (с.)"
"Close","Закрыть"
"Comments History","История комментариев"
"Confirmed email:","Подтвержденный e-mail:"
"Connect with the Magento Community","Связаться с сообществом Magento"
"Contents","Содержание"
"Country:","Страна:"
"Credit Card Number","Номер кредитной карты"
"Credit Card Number: xxxx-%s","Номер кредитной карты: хххх- %s"
"Credit Card Type","Тип кредитной карты"
"Credit Card Type: %s","Тип кредитной карты: %s"
"Credit Memo History","История возврата платежей"
"Credit Memo Totals","Сумма возврата"
"Current Configuration Scope:","Текущий раздел конфигурации:"
"Current Release Information","Информация текущего выпуска"
"Custom","Указанный"
"Customer Group:","Группа пользователей:"
"Customer Since:","Заказчик начиная с:"
"Customers","Пользователи"
"DHTML Date/Time Selector","Выбор даты и времени"
"Dashboard","Пульт управления"
"Data Format","Формат данных"
"Data transfer:","Передача данных:"
"Date selection:","Выбор даты:"
"Date selector","Выбор даты"
"Date:","Дата:"
"Decimal separator:","Десятичный разделитель:"
"Default (Admin) Values","Значения по умолчанию (Admin)"
"Default Values","Значения по умолчанию"
"Delete","Удалить"
"Dependencies","Зависимости"
"Description:","Описание:"
"Direction:","Направление:"
"Display %s first","Выводить %s первым"
