"Add New Rule","Добавить новое правило"
"Apply Rules","Применить правила"
"Catalog Price Rule","Ценовое правило для каталога"
"Catalog Price Rules","Ценовые правила для каталога"
"Conditions","Условия"
"Conditions (leave blank for all products)","Условия (оставьте пустым для всех товаров)"
"Customer Groups","Группы пользователей"
"Customer is new buyer: %s","Пользователь — новый покупатель: %s"
"Customer registered: %s","Дата регистрации пользователя: %s"
"Date Expire","Дата окончания"
"Date From","Дата с"
"Date Start","Дата начала"
"Date To","Дата до"
"Delete Rule","Удалить правило"
"Description: %s","Описание: %s"
"Edit Rule","Изменить правило"
"Edit Rule '%s'","Изменить правило ' %s '"
"Expire at: %s","Окончание: %s"
"From Date","Начиная с"
"NOT LOGGED IN","Не в системе"
"Name: %s","Название: %s"
"New Rule","Новое правило"
"Order Gift Messages","Поздравительные сообщения заказа"
"Rule Information","Информация о правиле"
"Rule Name","Название правила"
"Rule was successfully deleted","Правило было удалено"
"Rule was successfully saved","Правило было успешно сохранено"
"Rules were successfully applied","Правила были успешно применены"
"Save Rule","Сохранить правило"
"Save and Apply","Сохранить и применить"
"Start at: %s","Запуск в: %s"
"Stop further rules processing","Прекратить обработку других правил"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Есть изменённые правила, которые не сохранены. Нажмите ""Применить правила"", чтобы сразу увидеть изменения в каталоге."
"This rule no longer exists","Это правило больше не существует"
"To Date","До"
"Unable to apply rules","Невозможно применить правила"
"Update product's %s %s: %s","Обновить продукты %s %s: %s"
