"Contact Form","Форма для связи"
"Contact Information","Контактная информация"
"Contact Us","Свяжитесь с нами"
"Contacts","Контакты"
"Contacts Section","Contacts Section"
"Email Options","Email опции"
"Email Sender","Отправитель письма"
"Email Template","Шаблон письма"
"Enable Contact Us","Включить опцию ""связаться с нами"
"Send Emails To","Получатели письма"
"Submit","Принять"
"Unable to submit your request. Please, try again later","Не удается отправить ваш запрос. Пожалуйста, повторите попытку позже"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ваше сообщение отправлено. Мы ответим вам в ближайшее время. Спасибо."
