// ITEAMO . PAYMENT FORM . CORRECTION <<<                                      
"Text length does not satisfy specified text range.","Длина введенного значения не соответсвует требуемой."
// >>> ITEAMO . PAYMENT FORM . CORRECTION
"%s already exist","%s уже существует"
"%s already exists","%s уже существует"
"Add Block Names to Hints","Добавлять имена блоков к подсказкам"
"Add Store Code to Urls","Добавить код магазина в ссылки"
"Admin Base URL","Вход в админку"
"Admin User Emails","Почтовые ящики администратора"
"Advanced","Расширенные"
"Allow countries","Разрешенные страны"
"Allowed IPs (comma separated)","Разрешенные IP-адреса (через запятую)"
"Backup options","Параметры архивной копии"
"Base JavaScript URL","Базовый javascript url"
"Base Link URL","Базовый url ссылки"
"Base Media URL","Базовый url медиа"
"Base Skin URL","Базовый url скина"
"Before modifying the store view code please make sure that it is not used in index.php","Перед изменением кода представления магазина убедитесь что он не используется на главной странице (index.php)"
"Before modifying the website code please make sure that it is not used in index.php","Перед изменением кода магазина убедитесь что он не используется на главной странице (index.php)"
"Block with name ""%s"" already exists","Блок с именем ""%s"" уже существует"
"Blocks HTML output","HTML код блоков"
"Can't retrieve request object","Не удается найти объект запроса"
"Can\'t retrieve entity config: %s","Не могу получить конфигурацию сущности: %s"
"Cannot Delete Email Template","Нельзя удалить email шаблон"
"Cannot complete this operation from non-admin area.","Невозможно завершить операцию вне системы управления."
"Category object is required for determining product request path","Объект категории требуется для определения строки адреса продукта"
"Code","Код"
"Collections Data","Данные коллекций"
"Controller file was loaded but class does not exist","Файл контроллера был загружен, но класс не существует"
"Cookie Domain","Домен для cookies"
"Cookie Lifetime","Время жизни cookies"
"Cookie Path","Путь cookies"
"Copyright","Авторские права"
"Countries options","Опции для стран"
"Create Store","Создать магазин"
"Create Store View","Создать вид магазина"
"Create Website","Создать сайт"
"Current package name","Название текущего пакета"
"Custom admin URL","Другой адрес (URL) для администратора"
"Custom email 1","Другой email 1"
"Custom email 2","Другой email 2"
"Customer support","Пользовательская поддержка"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Default Keywords","Ключевые слова по умолчанию"
"Default Pages","Страницы по умолчанию"
"Default Robots","Инструкции для роботов по умолчанию"
"Default Store","Магазин по умолчанию"
"Default Store View","Вид магазина по умолчанию"
"Default country","Страна по умолчанию"
"Default no-route url","Url в случае отсутствия страницы по умолчанию"
"Default web url","Web URL по умолчанию"
"Delete Store","Удалить магазин"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Удаление %1$s не удалит информацию, связанную с %1$s (категории товары и т.д.), но в дальнейшем %1$s восстановить будет невозможно. Предполагается, что Вы создали архивную копию БД перед удалением %1$s."
"Design Change","Изменения дизайна"
"Developer","Для разработчика"
