"Cron (Scheduled Tasks) - all the times are in minutes","Cron (планировщик задач) - все время в минутах"
"Failure history lifetime","История ошибок в заданиях по времени"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Для генерации правильных адресов во время работы задачи убедитесь, что установлены базовые адреса для безопасного и обычного соединений."
"Generate schedules every","Период создания расписания"
"History cleanup every","Время жизни журнала задач"
"Invalid callback: %s::%s does not exist","Неверный обратный вызов (callback): %s::%s не существует"
"Invalid model/method definition, expecting ""model/class::method"".","Неверное определение метода модели (model/method), ожидается ""model/class::method""."
"Missed if not run within","Пропускать, если не запущено"
"No callbacks found","Обратные вызовы отсутствуют"
"Schedule ahead for","Расписание вперед"
"Success history lifetime","История успешных заданий по времени"
"Too late for the schedule","Расписание "
