"A new password was sent","Новый пароль был отправлен"
"Account Dashboard","Панель управления профилем"
"Account Sharing Options","Настройки разделения аккаунтов"
"Account information was successfully saved","Информация о профиле была успешно сохранена"
"Add New Customer","Добавить нового пользователя"
"Add New Customer Group","Добавить новую группу пользователей"
"Added From","Добавлено из"
"Additional Address Entries","Дополнительные параметры адреса"
"Address Book","Адресная книга"
"Address Information","Информация об адресе"
"Addresses","Адреса"
"Always optional","Всегда опционально"
"Are you sure that you want to remove this item?","Вы уверены, что хотите удалить этот пункт?"
"Are you sure you want to cancel adding of this address?","Вы уверены, что хотите отменить добавление этого адреса?"
"Are you sure you want to delete this address?","Вы уверены, что хотите удалить этот адрес?"
"Array of Entity collections is expected","Массив коллекции сущности потерян"
"Assign a customer group","Назначить группу пользователей"
"Average Sale","Средний объём продаж"
"Bad request.","Неверный запрос."
"Bought From","Куплено из"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","В процессе регистрации вы создадите личную учетную запись, с помощью которой сможете быстрее оформлять заказ в нашем магазине, хранить несколько адресов доставки, просматривать и отслеживать заказы, а также приобретете некоторые другие права зарегистрированных пользователей."
"Can\'t save address","Невозможно сохранить адрес"
"Can\'t save customer","Невозможно сохранить пользователя"
"Can\'t share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Невозможно разделить учётные записи покупателя. Неокторые покупатели с одинкаовым адресом эд. почты существуют на разных сайтов и их невозможно объединить в одну учётную запись."
"Change Account Password","Сменить пароль учетной записи"
"Change Password","Изменить пароль"
"Config","Конфигурация"
"Confirm New Password","Подтвердите новый пароль"
"Confirmation Link Email","E-mail для подтвержений"
"Confirmed","Подтвержден"
"Create New Account Options","Опции при создании новой учетной записи"
"Create New Customer Account","Создать новую учетную запись"
"Create Order","Создать заказ"
"Create an Account","Создать учетную запись"
"Create customer","Создать покупателя"
"Create customer address","Создать адрес покупателя"
"Current Password","Текущий пароль"
"Customer Addresses","Адреса пользователя"
"Customer Api","Api покупателя"
"Customer Configuration","Настройки для пользователя"
"Customer Group was successfully deleted","Пользовательская группа была успешно удалена"
"Customer Group was successfully saved","Пользовательская группа была успешно сохранена"
"Customer Information","Информация о пользователе"
"Customer Login","Вход в систему"
"Customer View","Вид пользователя"
"Customer collection expected","Пропущена коллекция для пользователя"
"Customer doesn't have primary billing address","У пользователя нет основного платежного адреса"
"Customer email already exists","Email пользователя уже существует"
"Customer website id must be specified, when using website scope.","Для сайтов должен быть установлен ID покупателя."
"Customers Only","Только для пользователей"
"Customers Section","Раздел покупателей"
"DD","DD"
"Date of Birth is required.","необходима дата рождения"
"Days in Wishlist","Дней в списке отложенных товаров"
"Default Addresses","Адреса по умолчанию"
"Default Billing Address","Платежный адрес по умолчанию"
"Default Email Domain","Домен по умолчанию для email"
"Default Group","Группа по умолчанию"
"Default Shipping Address","Адрес доставки по умолчанию"
"Default Welcome Email","Письмо с приветствием по умолчанию"
"Delete Address","Удалить адрес"
"Delete Customer","Удалить пользователя"
"Delete Customer Group","Удалить пользовательскую группу"
"Delete customer","Удалить покупателя"
"Delete customer address","Удалить адрес покупателя"
"Deleted Stores","Удаленные магазины"
"Edit Account Info","Редактировать информацию об аккаунте"
"Edit Account Information","Редактировать учетную запись"
"Edit Address Entry","Редактировать запись адреса"
"Edit Customer Group ""%s""","Редактировать группу пользователей ""%s"""
"Edit Customer Groups","Редактировать пользовательские группы"
"Edit Customer's Address","Редактировать адрес пользователя"
"Edit Group","Изменить группу"
"Edit Newsletter Subscription","Изменить подписку на новости"
