"An error occurred while saving the file(s).","При сохранении файла(ов) произошла ошибка."
"Can\'t connect to remote host, error: %s","Невозможно соединиться с удаленным хостом, ошибка: %s"
"Default Link Title","Заголовок ссылки по умолчанию"
"Default Maximum Number of Downloads","Максимально количество загрузок по умолчанию"
"Default Sample Title","Образец заголовка по умолчанию"
"Disable Guest Checkout if cart contains downloadable items","Запретить оплату без регистрации для цифровых товаров"
"Downloadable Information","Загружаемая информация"
"Downloadable Product Options","Опции цифрового товара"
"Downloadable product Section","Раздел цифрового товара"
"File does not exists","Файл не найден"
"Go to <a href=""%s"">My Downloadable Products</a>","Перейти к <a href=""%s"">Мои цифровые товары</a>"
"Guest checkout will only work with shareable","Guest checkout will only work with shareable"
"Invalid download URL host","Неверный домен ссылки для скачивания"
"Invalid download URL scheme","Неверный протокол ссылки для скачивания"
"Invalid download link type","Неправильный тип ссылки загрузки"
"Link has expired.","Link has expired."
"Link is not available.","Ссылка не доступна."
"Links can be purchased separately","Ссылки могут быть приобретены отдельно"
"Max. Downloads","Макс. Загрузки"
"My Downloadable Products","Мои загруженные товары"
"Open Links in New Window","Открывать ссылки в новом окне"
"Order Item Status to enable Downloads","Order Item Status to enable Downloads"
"Please log in to download your product.","Войдите, чтобы загрузить ваш товар."
"Please set resource file and link type","Укажите расположение файла и тип ссылки"
"Please specify product link(s).","Укажите ссылку(и) на товар."
"Remaining Downloads","Остальные загрузки"
"Requested link doesn't exist.","Requested link doesn't exist."
"Sample","Образец заголовка по умолчанию"
"Shareable","Общий"
"Sorry, the was an error getting requested content. Please contact store owner.","Произошла ошибка при получении содержания. Пожалуйста, свяжитесь с администратором магазина."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","Произошла ошибка при получении содержания. Пожалуйста, свяжитесь с администратором магазина."
"Start Download","Начать загрузку"
"U","U"
"Unlimited","Неограничено"
"You have no Downloadable Products.","You have no Downloadable Products."
"attachment","вложение"
"download","загрузка"
"inline","построчно"
"sample","Образец заголовка по умолчанию"
