"API Login ID","API Login ID"
"Authorize Only","Только авторизировать"
"Authorize.net","Authorize.net"
"Credit Card Verification","Проверка кредитной карты"
"Email customer","Email пользователя"
"Error in authorizing the payment","Ошибка во время авторизации платежа"
"Error in capturing the payment","Ошибка при получения платежа"
"Error in payment gateway","Ошибка в шлюзе оплаты"
"Error in refunding the payment.","Ошибка при возврате платежа"
"Error in retrieving the transaction","Ошибка в поиске транзакции"
"Fraud order status","Сомнительный статус заказа"
"Gateway request error: %s","Ошибка запроса шлюза: %s"
"Invalid amount for authorization","Неверная сумма для авторизации"
"Invalid amount for authorization.","Неверная сумма для авторизации."
"Maximum Order Total","Максимальная сумма заказа"
"Merchant Login","Логин продавца"
"Merchant's email","Email продавца"
"Minimum Order Total","Минимальная сумма заказа"
"Partner","Партнер"
"Payflow Pro","Payflow Pro"
"Payment authorization error.","Ошибка авторизации оплаты"
"Payment authorization transaction has been declined.","Транзакция была отклонена в момент авторизации оплаты"
"TENDER","ТЕНДЕР"
"Test mode","Тестовый режим"
"Transaction key","Ключ транзакции"
"URL","URL"
"VERBOSITY","МНОГОСЛОВИЕ"
"Voided transaction","Отмененные транзакции"
