"Abandoned carts","Заброшенные корзины"
"Applied Coupon","Применяемый сертификат"
"Avg. approved rating","Средний утвержденный рейтинг"
"Avg. rating","Средний рейтинг"
"Bought from wishlists","Куплено из списка отмеченных товаров"
"Carrier/Method","Перевозчик/метод"
"Carts","В корзине"
"Created at","Создано"
"Customer Tags","Метки пользователя"
"Customers Report","Отчет о пользователях"
"Customers Tags","Метки пользователей"
"Customers by number of orders","Пользователи по количеству заказов"
"Customers by orders total","Пользователи по сумме заказов"
"Customers that have wishlist: %s%","Пользователи имеющие отмеченные товары: %s%"
"Day","День"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Детали"
"Discounts","Скидки"
"Downloads","Downloads"
"Excel","Excel"
"Hits","Посещения"
"Invalid date specified","Указана неверная дата"
"Items in Cart","Товаров в корзине"
"Last Review","Последний отзыв"
"Link","Ссылка"
"Low stock","Малое количество в наличии"
"Month","Месяц"
"Most Viewed","Наиболее посещаемые"
"Most viewed","Наиболее просматриваемые"
"Number Added","Количество добавленных"
"Number Fulfilled","Количество выполненных"
"Number Of Historical Uses","Количество из использований из истории"
"Number Of Reviews","Количество отзывов"
"Number Of Uses","Число использований"
"Number Purchased","Количество куплено"
"Number Viewed","Количество просмотрено"
"Number of Items","Количество товаров"
"Number of Ivoiced Orders","Количество выставленых счетов"
"Number of New Accounts","Количество новых учетных записей"
"Number of Refunded Orders","Количество возвращенных заказов"
"Number of Reviews","Количество отзывов"
"Number of Total Tags","Общее количество меток"
"Number of Unique Tags","Количество уникальных меток"
"Number of Views","Число просмотров"
"Number of items bought from a wishlist: %s","Количество товаров купленных из списка отмеченных товаров: %s"
"Number of times deleted","Количество раз удалено"
"Number of times wishlists have been shared (emailed): %s","Количество раз, когда список отмеченных товаров был отправлен по email: %s"
"Number of wishlist conversions: %s","Количество переходов к списку отмеченных товаров: %s"
"Number of wishlist referrals: %s","Количество рефералов полученных через список отмеченных товаров: %s"
"Number of wishlists: %s","Количество списков с отмеченными товарами: %s"
"Offline Refunded","Возвращено offline"
"Online Refunded","Возвращено через интернет"
"Poducts Report","Отчет о товарах"
"Popular Tags","Популярные метки"
"Popularity","Популярность"
"Product Sku","SKU товара"
"Products Report","Отчет о товарах"
"Products Tags","Метки товаров"
"Products in carts","Товары в корзинах"
"Purchases","Покупки"
"Quantity Ordered","Заказанное количество"
"Quantity of Items","Количество товаров"
"Rate","Rate"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Review","Отзыв"
"Reviews for %s","Reviews for %s"
"Show for Current","Показать для текущего"
"Stock Qty","Количество в наличии"
"Submitted In","Принято"
"Submitted On","Отправлено"
"Tag","Метка"
"Tag ""%s"" details","Подробности метки ""%s"
"Tag Detail","Подробности метки"
"Tag use","Использование метки"
"Tags submited by %s","Метки,отправленные %s"
"Tags submitted to %s","Метки, отправленные для %s"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Shipping","Всего по доставке"
"Total Tags","Всего меток"
"Total invoiced","Всего платежей"
"Total refunded","Все возвраты"
"Updated at","Обновлено"
"Wishlist vs. Regular Order","Зависимость списка отмеченных товаров с регулярными заказами"
"Wishlists","Список отмеченных товаров"
"Year","Год"
"Your Recently Compared","Последние сравниваемые"
"Your Recently Viewed","Последние просмотренные"
