"%s - Discounts and Coupons","%s - скидки и сертификаты"
"%s - Special Discounts","%s - специальные скидки"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s достигло количества %s."
"%s\'s Wishlist","%s — отмеченные товары"
"Cannot retrieve the wishlist","Cannot retrieve the wishlist"
"Category Feeds","Category Feeds"
"Comment: %s<br/>","Комментарий: %s<br/>"
"Coupons/Discounts","Сертификаты/скидки"
"Current Status: %s<br/>","Текущее состояние: %s<br/>"
"Customer Name: %s","Имя пользователя: %s"
"Customer Order Status Notification","Уведомление пользователя о состоянии заказа"
"Details for %s #%s","Детали для %s # %s"
"Discount ","Скидка"
"Enable RSS","Включить RSS"
"Error in processing xml. %s","Ошибка в обработке xml.  %s"
"From:","От:"
"Get Feed","Получить канал"
"Gift Message","Подарочное собщение"
"Grand Total","Итоговая сумма:"
"Low Stock Products","Low Stock Products"
"Message:","Сообщение:"
"Miscellaneous Feeds","Miscellaneous Feeds"
"New Orders","Новые заказы"
"New Products from %s","New Products from %s"
"Notified Date: %s<br/>","Дата уведомление: %s <br/>"
"Order # %s Notification(s)","Уведомления заказ #%s"
"Order #%s created at %s","Заказ #%s создан в %s"
"Pending product review(s)","Pending product review(s)"
"Product: ""%s"" review By: %s","Товар: ""%s"". Отзыв от пользователя: %s"
"Product: <a href=""%s"">%s</a> <br/>","Товар: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Товары, отмеченные %s"
"Purchased From: %s","Куплен из: %s"
"RSS","RSS"
"RSS Feeds","Rss-каналы"
"RSS testing","RSS testing"
"Review: %s <br/>","Отзыв: %s<br/>"
"Rss Config","Rss конфигурация"
"Rss Feeds Section","Rss Feeds Section"
"Shipping & Handling","Доставка и обработка"
"Special Products","Специальные товары"
"Special/Discount Products","Особые/товары со скидкой"
"Store: %s <br/>","Магазин: %s<br/>"
"Subtotal","Итого"
"Summary of review: %s <br/>","Итог отзыва: %s<br/>"
"Tags Products","Метки товаров"
"There are no Rss Feeds","There are no Rss Feeds"
"There are no Rss Feeds.","There are no Rss Feeds."
"To:","Кому:"
"Top Level Category","Раздел верхнего уровня"
"Total Products: %s","Total Products: %s"
"Total: %s<br/>","Всего: %s<br/>"
"Wishlist","Список отмеченных товаров"
"click <a href=""%s"">here</a> to view the review","нажмите <a href=""%s"">здесь</a> чтобы смотреть отзыв"
