" The customer doesn\'t exist in the system anymore","Пользователь больше не существует в системе"
"""%s"" coupon code is not valid.","Сертификат с кодом ""%s"" неверен"
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s для %s"
"%s order(s) successfully canceled","%s заказ(ов) отменен(о)"
"%s order(s) successfully put on hold","%s order(s) successfully put on hold"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","О заказе:"
"About Your Order","О вашем заказе"
"Account Information","Информация об учетной записи"
"Add Gift Messsage","Add Gift Messsage"
"Add New Address","Добавить новый адрес"
"Add Order Comments","Добавить комментарии к заказу"
"Add Products","Добавить продукты"
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Add Selected Product(s) to Order","Добавить выбранные продукт(ы) в заказ"
"Add To Order","Добавить в заказ"
"Add Tracking Number","Добавить номер отслеживания"
"Add a gift message for <strong>each gift item</strong>","Добавить подарочное сообщение для <strong> каждого подарочного товара</strong>"
"Add a gift message for the <strong>entire order</strong>","Добавить подарочное сообщение для <strong>всего заказа</strong>"
"Add comment to order","Добавить комментарий к заказу"
"Add new comment to shipment","Добавит ьновый комментарий к отправлению"
"Add new tracking number","Добавить новый номер отслеживания"
"Address","Адрес"
"Adjustment Fee","Корректировка оплаты"
"Adjustment Fee:","Корректировка оплаты:"
"Adjustment Refund","Корректировка возврата"
"Adjustment Refund:","Корректировка возврата:"
"Allow Reorder","Разрешить перезаказ"
"Amount","Cумма"
"Append Comments","Добавить комментарии"
"Apply","Применить"
"Apply Coupon Code","Применить код сертификата"
"Are you sure you want to cancel this order?","Вы уверены, что хотите отменить этот заказ?"
"Are you sure? This order will be cancelled and a new one will be created instead","Вы уверены? Этот заказ будет отменен, а вместо него будет создан новый"
"Back to My Orders","Вернуться в мои заказы"
"Backordered","Backordered"
"Bill to First name","Оплачено на имя"
"Bill to Last name","Оплачено на фамилию"
"Bill to Name","Оплата на имя"
"Buy %s for price %s","Buy %s for price %s"
"Can not add order history.","Can not add order history."
"Can not create block ""%s""","Не могу создать блок ""%s"""
"Can not do invoice for order.","Невозможно создать инвойс к заказу."
"Can not do shipment for order.","Не удается сделать отгрузку для заказа."
"Can not register existing creditmemo","Не удается зарегистрировать существующую creditmemo"
"Can not register existing invoice","Не удается зарегистрировать существующий платеж"
"Can not register existing shipment","Не удается зарегистрировать существующую отгрузку"
"Can\'t get order instance","Не могу получить реализацию заказа"
"Cancel","Отмена"
"Cancel invoice","Отменить инвойс"
"Cancel order","Отменить заказ"
"Canceled","Отменен"
"Cannot create an empty shipment.","Невозможно создать пустое отправление"
"Capture","Прием оплаты"
"Capture Amount","Захват сумма"
"Capture Offline","Capture Offline"
"Capture Online","Capture Online"
"Capture invoice","Capture invoice"
"Carrier","Перевозчик"
"Change Status","Изменение статуса"
"Change status, add comments","Change status, add comments"
"Checkout totals sort order","Порядок сумм при оформлении заказа"
"Click to change shipping method","Нажмите, чтобы изменить способ доставки"
"Closed","Закрыт"
"Comment","Комментарий"
"Comment Text","Комментировать текст"
"Comments","Комментарии"
"Complete","Обработан"
"Coupons","Сертификаты"
"Create New Customer","Создать нового пользователя"
"Create New Order","Создать новый заказ"
"Create New Order for %s","Создать новый заказ для %s"
"Create New Order for %s in %s","Создать новый заказ для %s в %s"
"Create New Order for New Customer","Создать новый заказ для нового пользователя"
"Create New Order for New Customer in %s","Создать новый заказ для нового пользователя в %s"
"Create Shipment","Создать доставку"
"Create new invoice for order","Создать новый инвойс к заказу"
"Create new shipment for order","Создать новое отправление к заказу"
"Created At","Дата создания"
"Credit Memo","Возврат платежа"
"Credit Memo #","Возврат платежа #"
"Credit Memo # ","Credit Memo # "
"Credit Memo Comment Email Sender","Письмо комментария о возврате оплаты. Отправитель"
"Credit Memo Comment Email Template","Письмо комментарияо возврате оплаты. Шаблон"
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Credit Memo Comments","Комментарии к возврату платежа"
"Credit Memo Email Sender","Письмо о возврате платежа. Отправитель"
"Credit Memo Email Template","Письма о возврате платежа. Шаблон"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Credit Memo Update","Credit Memo Update"
"Credit Memo Update for Guest","Credit Memo Update for Guest"
"Credit Memo email not sent","Письмо о возврате платежа не отправлено"
"Credit Memo email sent","Письмо о возврате платежа отправлено"
"Credit Memos","Возвраты платежей"
"Creditmemo","Кредитная запись"
"Custom Price","Custom Price"
"Custom Value","Другое значения"
"Customer","Пользователь"
"Customer Name","Имя пользователя"
"Customer\'s Current Activities","Customer\'s Current Activities"
"Date Shipped","Дата отправки"
"Date of Birth","Дата рождения"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)"
"Description message","Description message"
"Discount","Скидка"
"Discount (%s)","Скидка ( %s)"
"Discount :","Скидка:"
"Discount Amount","Сумма скидки"
"Discount%s","Скидка%s"
"Display Order ID in Header","Display Order ID in Header"
"Document","Документ"
"Edit Gift Messsage","Edit Gift Messsage"
"Edit Order #%s","Изменить заказ #%s"
"Email Copy of Credit Memo","Копия письма о возврате платежа"
"Email Copy of Invoice","Копия письма об оплате"
"Email Copy of Shipment","Email копия для доставки"
"Email Order Confirmation","Email подтверждения заказа"
"Error to show in shopping cart","Error to show in shopping cart"
"From Name","От имени"
"G.T. (Base)","Сумма (основная)"
"G.T. (Purchased)","Сумма (покупки)"
"Get shipping methods and rates","Получить методы доставки и цены"
"Gift","Подарок"
"Gift Certificate","Подарочный сертификат"
"Gift Message for Entire Order","Подарочное сообщение для всего заказа"
"Gift Message for this Order","Подарочное сообщение для этого заказа"
"Grand Total to be charged","Итоговая сумма для оплаты"
"Grand Total:","Итоговая сумма:"
"Guest","Гость"
"Hold","Удержать"
"Hold action is not available","Действие удержания недоступно"
"Hold order","Hold order"
"If empty, the default description above will be used","If empty, the default description above will be used"
"If empty, the default error above will be used","If empty, the default error above will be used"
"Information","Информация"
"Invalid carrier specified.","Invalid carrier specified."
"Invalid item option format","Invalid item option format"
"Invalid qty to invoice item ""%s""","Неверное количество для платежа по товару ""%s"""
"Invalid qty to refund item ""%s""","Неверное количество для возврата товара ""%s"""
"Invalid qty to ship for item ""%s""","Неверное количество для отгрузки товара ""%s"""
"Invalid renderer model","Invalid renderer model"
"Invalid request for adding product to quote","Invalid request for adding product to quote"
"Invoice","Платеж"
"Invoice #","Платеж #"
"Invoice # ","Invoice # "
"Invoice #%s","Платеж #%s"
"Invoice Comment Email Sender","Письмо комментария оплаты. Отправитель"
"Invoice Comment Email Template","Письмо комментария платежа. Шаблон"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Invoice Comments","Комментарии к платежу"
"Invoice Date","Дата оплаты"
"Invoice Email Sender","Письмо о платеже. Отправитель"
"Invoice Email Template","Письмо о платеже. Шаблон"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Invoice Update","Invoice Update"
"Invoice Update for Guest","Invoice Update for Guest"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Invoice can not be canceled","Invoice can not be canceled"
"Invoice can not be captured","Invoice can not be captured"
"Invoice can not be void","Invoice can not be void"
"Invoice cancel problem","Invoice cancel problem"
"Invoice capture problem","Invoice capture problem"
"Invoice email not sent","Письмо об оплате не отправлено"
"Invoice email sent","Письмо об оплате отправлено"
"Invoice void problem","Invoice void problem"
"Invoiced","Оплачен"
"Invoices","Платежи"
"Item","Товар"
"Item Status","Item Status"
"Item object is not specified.","Item object is not specified."
"Item option with code %s already exist","Item option with code %s already exist"
"Item options declare error","Item options declare error"
"Item ordered qty","Item ordered qty"
"Item qty declare error","Ошибка количества товаров"
"Items Invoiced","Оплаченные товары"
"Items Ordered","Товаров заказан"
"Items Refunded","Товаров возвращен"
"Items Shipped","Товаров отправлен"
"Items options declare error.","Items options declare error."
"Items to Invoice","Товары для оплаты"
"Items to Refund","Товаров к возврату"
"Items to Ship","Товаров к отгрузке"
"Last ordered items","Последние заказанные товары"
"Link to the new order","Ссылка на новый заказ"
"Link to the previous order","Ссылка на предыдущий заказ"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Logo for HTML print view","Logo for HTML print view"
"Logo for PDF print-outs (200x50)","Logo for PDF print-outs (200x50)"
"Message","Сообщение"
"Minimum amount","Минимальное количество"
"Mixed","Смешанные"
"Move to Shopping Cart","Переместить в корзину"
"Move to Wishlist","Переместить в отмеченные"
"Multi-address description message","Multi-address description message"
"Multi-address error to show in shopping cart","Multi-address error to show in shopping cart"
"My Orders","Мои заказы"
"My Orders - Details","Мои заказы - подробности"
"New","Новый"
"New Credit Memo","Новый возврат платежа"
"New Credit Memo for Guest","New Credit Memo for Guest"
"New Invoice","Новый платеж"
"New Invoice for Guest","New Invoice for Guest"
"New Order","Новый заказ"
"New Order Confirmation Email Sender","Письмо подтверждения нового заказа. Отправитель"
"New Order Confirmation Template","Письмо подтверждения нового заказа. Шаблон"
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"New Order RSS","RSS новых заказов"
"New Order for Guest","Новый заказ для гостя"
"New Shipment","Новая отгрузка"
"New Shipment for Guest","Новое отправление для гостя"
"New Status","Новый статус"
"Newsletter Subscription","Подписка на новости"
"No Items","Нет товаров"
"No Items To Refund","Нет товаров для возврата"
"No Payment Methods","Нет способов оплаты"
"No detail for number ""%s""","Нет подробностей для номера ""%s"""
"No items","Нет товаров"
"No ordered items","Нет заказанных товаров"
"No shipping information available","Информация об отправлении не доступна"
"Not Capture","Not Capture"
"Not Notified","Not Notified"
"Notified","Notified"
"Notify Customer","Уведомить пользователя"
"Number","Количество"
"On Hold","On Hold"
"Order","Заказ"
"Order #","Заказ #"
"Order # ","Заказ # "
"Order # %s","Заказ # %s"
"Order #%s","заказ #%s"
"Order #%s - %s","Заказ #%s - %s"
"Order API","Order API"
"Order Comment","Комментарий к заказу"
"Order Comment Email Sender","Письмо комментария к заказу. Отправитель"
"Order Comment Email Template","Письмо комментария к заказу. Шаблон"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Order Comments","Комментарии к заказу"
"Order Credit Memos","Возвраты платежей заказа"
"Order Currency:","Валюта заказа:"
"Order Date","Дата заказа"
"Order Date (%s)","Дата заказа (%s)"
"Order Date: ","Дата заказа:"
"Order Date: %s","Дата заказа: %s"
"Order Details","Сведения о заказе"
"Order Grand Total","Итоговая сумма заказа"
"Order History","История заказа"
"Order Information","Информация о заказе"
"Order Invoices","Платежи заказа"
"Order Shipments","Поставки заказа"
"Order Status","Статус заказа"
"Order Subtotal","Итог заказа"
"Order Subtotal:","Итог заказа:"
"Order Total","Итог заказа"
"Order Update","Обновления заказа"
"Order Update for Guest","Order Update for Guest"
"Order View","Вид заказа"
"Order invoice","Order invoice"
"Order object is not specified.","Order object is not specified."
"Order saving error: %s","Ошибка сохранения заказа: %s"
"Order shipments","Отправления заказа"
"Order was not cancelled.","Заказ не был отменен"
"Order was not put on hold.","Заказ не был отложен"
"Order was not unholded.","Заказа не был возобновлен"
"Order was placed using %s","Заказ был размещен с помощью %s"
"Order was successfully cancelled.","Заказ был успешно отменен."
"Order was successfully put on hold.","Заказ был успешно отложен."
"Order was successfully released from holding status.","Order was successfully released from holding status."
"Ordered","Заказано"
"Orders","Заказы"
"Original Price","Original Price"
"PDF Credit Memos","PDF возвраты платежей"
"PDF Invoices","PDF платежи"
"PDF Packingslips","Pdf packingslips"
"PDF Print-outs","PDF Print-outs"
"PDF object is not specified.","PDF object is not specified."
"PDF page object is not specified.","PDF page object is not specified."
"Packingslip # ","Packingslip #"
"Paid","Оплачен"
"Paid Amount","Оплаченная сумма"
"Partial","Частичный"
"Payment Failed","Payment Failed"
"Payment Information","Информация об оплате"
"Payment Method","Способ оплаты"
"Payment Method:","Способ оплаты:"
"Pending PayPal","Pending PayPal"
"Pending Payment","Pending Payment"
"Placed from IP","Совершен с IP"
"Please enter positive number in this field.","Введите положительное число в это поле."
"Please select a customer","Пожалуйста, выберите пользователя"
"Please select a store","Пожалуйста, выберите магазин"
"Please select products to add","Пожалуйста, выберите продукты для добавления"
"Print","Печать"
"Print All","Печатать все"
"Print All Invoices","Печать всех платежей"
"Print All Refunds","Печать всех возвратов"
"Print All Shipments","Печать всех отгрузок"
"Print Credit Memos","Распечатать возвраты платежей"
"Print Invoice","Печать платежа"
"Print Invoices","Печать платежей"
"Print Order","Распечатать заказ"
"Print Order # %s","Распечатать заказ # %s"
"Print Packingslips","Печать packingslips"
"Print Refund","Печать возврата"
"Print Shipment","Печать отгрузки"
"Processing","Обработка"
"Processing data problem","Обработка проблемы данных"
"Products in Compare List","Товары в списке сравнения"
"Purchased From","Куплен из"
"Purchased On","Дата покупки"
"Purchased from (store)","Куплен из (магазин)"
"QTY","Количество"
"Qty Invoiced","Кол-во оплачено"
"Qty Ordered","Количество заказано"
"Qty Shipped","Количество отправлено"
"Qty To Add","Количество для добавления"
"Qty to Invoice","Кол-во для оплаты"
"Qty to Refund","Кол-во к возврату"
"Qty to Ship","Кол-во к отправке"
"Recent Orders","Новые заказы"
"Recently Compared Products","Последние сравниваемые товары"
"Recently Viewed","Недавно просмотренные"
"Recently Viewed Products","Просмотренные товары"
"Refresh","Обновить"
"Refund","Возврат"
"Refund #","Возврат #"
"Refund #%s","Возврат #%s"
"Refund Amount","Количество возврата"
"Refund Offline","Возврат в автономном режиме"
"Refund Shipping","Refund Shipping"
"Refund Totals","Refund Totals"
"Refunded","Возвращено"
"Refunds","Возвраты"
"Remove Coupon Code","Удалить код сертификата"
"Remove tracking number","Удалить номер отслеживания"
"Reorder","Повторный заказ"
"Retrieve invoice info","Retrieve invoice info"
"Retrieve invoice information","Retrieve invoice information"
"Retrieve list of invoices by filters","Retrieve list of invoices by filters"
"Retrieve list of orders by filters","Retrieve list of orders by filters"
"Retrieve list of shipments by filters","Retrieve list of shipments by filters"
"Retrieve order information","Retrieve order information"
"Retrieve orders info","Retrieve orders info"
"Retrieve shipment info","Retrieve shipment info"
"Retrieve shipment information","Retrieve shipment information"
"Return to Stock","Вернуть на склад"
"Returned","Вернулась"
"Row Subtotal","Row Subtotal"
"Row Total","Сумма"
"SHIP TO:","Отгружено:"
"SOLD TO:","Продано:"
"Sales","Продажи"
"Sales Emails","Письма о заказе"
"Sales Emails Section","Sales Emails Section"
"Sales Section","Раздел продаж"
"Same As Billing Address","Такой же как и платежный адрес"
"Save and Close Message","Save and Close Message"
"Save in address book","Сохранить в адресной книге"
"Select from existing customer addresses:","Выберите из существующих адресов пользователя:"
"Send Credit Memo Comment Email Copy To","Отправить копии письма комментария о возврате оплаты к"
"Send Credit Memo Email Copy To","Отправить копии письма о возврате платежа к"
"Send Invoice Comment Email Copy To","Отправить копии письма комментария платежа к"
"Send Invoice Email Copy To","Отправить копии письма о платеже к"
"Send Order Comment Email Copy To","Отправить копии письма комментария к заказу к"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Send Order Email Copy To","Отправить копии письма подтверждения нового заказа к"
"Send Shipment Comment Email Copy To","Отправить копии письма комментария об отгрузке к"
"Send Shipment Email Copy To","Отправить копии письма об отгрузке к"
