"Add Recipient","Добавить получателя"
"Allow for Guests","Разрешить для гостей"
"Email Address","Email"
"Email Address:","Адрес электронной почты:"
"Email templates","Email шаблоны"
"Limit Sending By","Ограничить отправку"
"Link to a friend was sent.","Ссылка была отправлена."
"Max Products Sent in 1 Hour","Максимальное количество товаров отправленных за 1 час"
"Max Recipients","Максимальное количество получателей"
"Maximum %d email addresses allowed.","Допускается максимально %d email адресов."
"Recipient:","Получатель:"
"Remove Email","Убрать Email"
"Select email template","Выбрать e-mail шаблон"
"Send email","Отправить письмо"
"Send product to a friend","Отправить товар другу"
"Sender:","Отправитель:"
"Some emails was not sent","Some emails was not sent"
"Some problems with data.","Some problems with data."
"You cannot email this product to a friend","Вы не можете отправить информацию об этом продукте другу по email"
"You cannot send more than %d times in an hour","Вы не можете отправлять более, чем %d раз в час"
