"Add New Class","Добавить новый класс"
"Add New Tax Rate","Добавить новую налоговую ставку"
"Add New Tax Rule","Добавить новый налоговое правило"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Имя класса"
"County","Количество"
"Custom price if available","Custom price if available"
"Customer Tax Classes","Пользовательские классы налога"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Удалить класс"
"Delete Rate","Удалить ставку"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","Редактировать класс"
"Edit Class '%s'","Редактировать класс '%s'"
"Edit Tax Rate","Редактирование ставки налога"
"Error while deleting this class. Please try again later.","Ошибка при удалении этого класса. Пожалуйста, попробуйте еще раз позднее."
"Error while deleting this rate. Incorrect rate ID","Ошибка при удалении этой ставки. Неправильный ID ставки"
"Error while deleting this rate. Please try again later.","Ошибка при удалении этой ставки. Пожалуйста, попробуйте еще раз позднее."
"Error while deleting this tax rule. Please try again later.","Ошибка при удалении этого налогового правила. Пожалуйста, попробуйте еще раз позднее."
"Error while saving this rate. Please try again later.","Ошибка при сохранении ставки. Пожалуйста, попробуйте еще раз позднее."
"Error while saving this tax class. Class with the same name ","Ошибка при сохранении класса налога. Класс с тем же именем уже существует"
"Error while saving this tax class. Please try again later.","Ошибка при сохранении класса налога. Пожалуйста, попробуйте еще раз позднее."
"Error while saving this tax rule. Please try again later.","Ошибка при сохранении налогового правила. Пожалуйста, попробуйте еще раз позднее."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Экспорт ставки налога"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Импорт / экспорт ставки налога"
"Import Tax Rates","Импорт налоговых ставок"
"Inc. Tax","Inc. Tax"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Неправильная дата ставки"
"Invalid data for tax rate calculation","Неправильные данные для расчета ставки налога"
"Invalid file format upload attempt","Попытка загрузки неправильного формата файла"
"Invalid file upload attempt","Неудачная попытка загрузки файла"
"Manage Customer Tax Classes","Управление другими классами налога"
"Manage Product Tax Classes","Управление классами налога для товаров"
"Manage Tax Rates","Управление ставкой налога"
"Manage Tax Rules","Управление правилами налогообложения"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"New Class","Новый класс"
"New Tax Rate","Новая ставка налога"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","Пожалуйста, выберите страну"
"Please select County","Пожалуйста, выберите округ"
"Please select State","Пожалуйста, выберите штат"
"Product Tax Classes","Налоговые классы товара"
"Save Class","Сохранить класс"
"Save Rate","Сохранить ставку"
"Shipping prices include tax","Shipping prices include tax"
"State","Штат"
"State/Region","Штат/регион"
"Tax Based On","Налог основан на"
"Tax Class for Shipping","Налоговый класс для доставки"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Ставка налога"
"Tax Rate Information","Информация ставки налога"
"Tax Rule Information","Информация о налоговом правиле"
"Tax Rules","Налоговые правила"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","Класс налога был удален"
"Tax class was successfully saved","Класс налога был сохранен"
"Tax rate was successfully deleted","Налоговая ставка была удалена"
"Tax rate was successfully imported","Налоговая ставка была импортирована"
"Tax rate was successfully saved","Налоговая ставка была сохранена"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","Налоговое правило было удалено"
"Tax rule was successfully saved","Налоговое правило было сохранена"
"This class no longer exists","Этот класс больше не существует"
"You cannot delete this tax class as it is used for %d customer groups.","Вы не можете удалить этот налоговый класс, т.к. он используется для %d групп пользователей."
"You cannot delete this tax class as it is used for %d products.","Вы не можете удалить этот налоговый класс, т.к. он используется для %d товара(ов)."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Вы не можете удалить этот налоговый класс, т.к. он используется в налоговых правилах. Вначале вы должны удалить правила, использующие класс"
"Zip/Post Code","Почтовый индекс"
