"Origin city","Город отправки"
"Packaging","Вид упаковки"
"Delivery from doors","Считать доставку от двери"
"Delivery to doors","Считать доставку до двери"
"Calculate volume by typical volume? (Dumb)","Считать общий объем через средний объем товара? (неточно)"
"Typical volume for item","Средний объем товара"
"Attribute code","Код аттрибута"
"Attribute code in lowercase. example: volume","Код аттрибута в нижних символах. пример: volume"
"Can`t be empty, in m3. Example: 0.1","Обязательно к заполнению, в метрах кубических. Пример: 0.1"
"If yes: volume=typical volume*cart count;If no: volume=item volume*item count;","Если да, то общий объем=количество товара в корзине * средний объем товара;Если нет, то общий объем=количество каждого товара в корзине * объем каждого товара"
"Debug mode","Режим отладки"
"Calculating type","Режим расчета"
"Enable internal jQuery + UI","Подключить jQuery + UI"
"Enable Json helper","Включить всплывающие подсказки"
"XML (from dellin.ru) or KLADR","Список городов получателей брать из XML с сервера Деловых линий или по базе КЛАДР"
"Enable internally jQuery for autocomplete. If you already have jQuery enabled in your store, choose NO","Для подсказок городов необходим jQuery + UI. Если в магазине уже встроен jQuery, то включать не надо"
"Autocomplete helper for billing &amp; shipping city inputs","Подсказки городов в полях ввода города в чекауте"
"Limit count of autocomplete variants","Ограничить количество выпадающих городов в подсказке"
"Limit for autocomplete helper","Максимальное кол-во городов в подсказке"
"Dellin shipping version: %s","Модуль доставки Деловые Линии версия: %s"
"Module page","Страница модуля"
"Displayed Error Message","Отображаемое сообщение об ошибке"
"Insurance price, in % of order","Страховая сумма, в % от стоимости заказа"
"Typical weight for item","Стандартный вес товара, в кг"
"Required, in kg.","Обязателен, в кг"
"Required, in m3.","Обязателен, в м3"
"Attribute for volume","Атрибут, из которого будет браться значение объема товара"
"Update city and package from Dellin","Обновить список городов и видов упаковки с сервера Деловых Линий"
"Update","Обновить"
"Example: 100","Пример: 100"
"Technical section","Техническая секция"
"Add insurance","Добавить страховку товара"
"Method Name","Нзвание метода"
"Do not send calculation to event","Не делать расчет в основной моделе"
"Send empty shipping/rate_result to event","Отправить пустой shipping/rate_result в ивент"
